ticker,year,folder_name,exchange,lagged_year,company_name
BWA,2008,,,,
BWA,2009,,,,
BWA,2010,,,,
BWA,2011,,,,
BWA,2012,,,,
BWA,2013,,,,
BWA,2014,,,,
BWA,2015,,,,
BWA,2016,,,,
BWA,2017,,,,
BWA,2018,,,,
BWEN,2014,,,,
BWXT,2012,,,,
BWXT,2013,,,,
CALX,2007,,,,
CALX,2008,,,,
CALX,2009,,,,
CALX,2010,,,,
CALX,2014,,,,
CALX,2015,,,,
CAT,2005,,,,
CAT,2006,,,,
CAT,2007,,,,
CAT,2008,,,,
CAT,2009,,,,
CAT,2010,,,,
CAVM,2010,,,,
CAVM,2012,,,,
CAVM,2013,,,,
CAVM,2014,,,,
CAVM,2015,,,,
CAVM,2016,,,,
CBST,2006,,,,
CBST,2011,,,,
CBST,2013,,,,
CBT,2005,,,,
CBT,2007,,,,
CBT,2008,,,,
CBT,2009,,,,
CBT,2010,,,,
CDNS,2005,,,,
CDNS,2006,,,,
CDNS,2007,,,,
CDNS,2008,,,,
CDNS,2009,,,,
CDNS,2010,,,,
CDNS,2011,,,,
CDNS,2012,,,,
CDNS,2013,,,,
CDNS,2014,,,,
CDNS,2017,,,,
CDTI,2007,,,,
CDTI,2011,,,,
CDTI,2012,,,,
CDTI,2013,,,,
CDTI,2014,,,,
CDTI,2015,,,,
CDXS,2008,,,,
CDXS,2009,,,,
CDXS,2010,,,,
CDXS,2011,,,,
CDXS,2012,,,,
CDXS,2013,,,,
CDXS,2014,,,,
CDXS,2015,,,,
CDXS,2016,,,,
CDXS,2017,,,,
CDXS,2018,,,,
CDXS,2019,,,,
CELG,2003,,,,
CELG,2005,,,,
CELG,2006,,,,
CELG,2008,,,,
CELG,2009,,,,
CELG,2012,,,,
CELG,2014,,,,
CELG,2015,,,,
CELG,2016,,,,
CELG,2017,,,,
CELG,2018,,,,
CERN,2014,,,,
CFN,2005,,,,
CFN,2007,,,,
CFN,2009,,,,
CFN,2010,,,,
CFN,2011,,,,
CGNX,2008,,,,
CGNX,2009,,,,
CGNX,2013,,,,
CHD,2007,,,,
CHD,2011,,,,
CHMT,2006,,,,
CHMT,2011,,,,
CHMT,2012,,,,
CIEN,2007,,,,
CIEN,2010,,,,
CIEN,2013,,,,
CIEN,2014,,,,
CIEN,2015,,,,
CIEN,2016,,,,
CL,2006,,,,
CL,2009,,,,
CL,2010,,,,
CL,2012,,,,
CLIR,2013,,,,
CLIR,2014,,,,
CLIR,2015,,,,
CLIR,2017,,,,
CLNE,2011,,,,
CLNE,2012,,,,
CLWR,2010,,,,
CLX,2009,,,,
CLX,2010,,,,
CLX,2012,,,,
CMC,2013,,,,
CMRX,2009,,,,
CMRX,2010,,,,
CMRX,2011,,,,
CMRX,2015,,,,
CNCE,2012,,,,
CNCE,2013,,,,
CNCE,2014,,,,
CNXT,2008,,,,
CODE,2008,,,,
CODE,2010,,,,
CODE,2011,,,,
CODE,2012,,,,
COL,2005,,,,
COL,2007,,,,
COL,2008,,,,
COL,2009,,,,
COL,2010,,,,
COL,2011,,,,
COL,2012,,,,
COL,2013,,,,
COL,2014,,,,
COL,2015,,,,
COMV,2008,,,,
COMV,2009,,,,
COP,2003,,,,
COP,2007,,,,
COP,2009,,,,
COP,2010,,,,
COP,2011,,,,
CPST,2012,,,,
CPST,2016,,,,
CREE,2005,,,,
CREE,2007,,,,
CREE,2008,,,,
CREE,2009,,,,
CREE,2010,,,,
CREE,2011,,,,
CREE,2012,,,,
CREE,2013,,,,
CREE,2014,,,,
CREE,2015,,,,
CREE,2016,,,,
CREE,2017,,,,
CRIS,2007,,,,
CRIS,2011,,,,
CRIS,2013,,,,
CRIS,2018,,,,
CRM,2013,,,,
CRM,2014,,,,
CRM,2015,,,,
CRM,2016,,,,
CRM,2019,,,,
CRUS,2007,,,,
CRUS,2008,,,,
CRUS,2009,,,,
CRUS,2010,,,,
CRUS,2011,,,,
CRUS,2012,,,,
CRUS,2013,,,,
CRUS,2014,,,,
CRUS,2015,,,,
CRUS,2016,,,,
CRUS,2017,,,,
CSCO,2003,,,,
CSCO,2004,,,,
CSCO,2010,,,,
CTIC,2008,,,,
CTRL,2008,,,,
CTRL,2010,,,,
CTRL,2012,,,,
CTRL,2013,,,,
CTRL,2014,,,,
CTS,2013,,,,
CTXS,2010,,,,
CTXS,2011,,,,
CTXS,2012,,,,
CTXS,2013,,,,
CTXS,2015,,,,
CUB,2008,,,,
CUB,2011,,,,
CUB,2014,,,,
CVLT,2008,,,,
CVLT,2013,,,,
CVLT,2015,,,,
CWST,2004,,,,
CWST,2005,,,,
CWST,2007,,,,
CWST,2011,,,,
CYT,2009,,,,
CYT,2010,,,,
CYT,2011,,,,
CYT,2012,,,,
CYT,2014,,,,
D,2010,,,,
D,2012,,,,
D,2014,,,,
D,2016,,,,
DAIO,2015,,,,
DAN,2016,,,,
DBD,2017,,,,
DCI,2008,,,,
DD,2004,,,,
DD,2005,,,,
DD,2006,,,,
DD,2007,,,,
DD,2008,,,,
DD,2009,,,,
DD,2010,,,,
DD,2011,,,,
DD,2012,,,,
DD,2013,,,,
DD,2014,,,,
DE,2005,,,,
DE,2006,,,,
DE,2007,,,,
DE,2008,,,,
DE,2009,,,,
DE,2010,,,,
DE,2011,,,,
DE,2012,,,,
DE,2013,,,,
DE,2014,,,,
DE,2015,,,,
DE,2016,,,,
DE,2017,,,,
DE,2018,,,,
DGII,2008,,,,
DGII,2009,,,,
DGII,2010,,,,
DGX,2008,,,,
DMRC,2013,,,,
DMRC,2014,,,,
DMRC,2015,,,,
DMRC,2016,,,,
DOLE,2011,,,,
DOW,2004,,,,
DOW,2006,,,,
DOW,2007,,,,
DOW,2008,,,,
DOW,2009,,,,
DOW,2010,,,,
DOW,2011,,,,
DOW,2012,,,,
DOW,2013,,,,
DOW,2014,,,,
DRC,2010,,,,
DRC,2011,,,,
DRC,2012,,,,
DRI,2009,,,,
DSPG,2013,,,,
DSPG,2015,,,,
DTE,2011,,,,
DVAX,2007,,,,
DVAX,2009,,,,
DVAX,2011,,,,
DVAX,2012,,,,
DVAX,2014,,,,
DXCM,2006,,,,
DXCM,2008,,,,
DXCM,2009,,,,
DXCM,2010,,,,
DXCM,2011,,,,
DXCM,2012,,,,
DXCM,2013,,,,
DXCM,2014,,,,
DXCM,2015,,,,
DXCM,2016,,,,
DXCM,2017,,,,
DXCM,2018,,,,
DYAX,2009,,,,
EBAY,2009,,,,
EBAY,2010,,,,
EBAY,2013,,,,
EBAY,2014,,,,
EBAY,2015,,,,
EGIO,2011,,,,
EGIO,2012,,,,
EGIO,2013,,,,
ELON,2004,,,,
ELON,2016,,,,
ELY,2010,,,,
EMKR,2006,,,,
EMKR,2007,,,,
EMKR,2008,,,,
EMKR,2009,,,,
EMKR,2010,,,,
EMKR,2012,,,,
EMKR,2013,,,,
EMN,2006,,,,
EMN,2007,,,,
EMN,2008,,,,
EMN,2010,,,,
EMN,2012,,,,
EMR,2003,,,,
EMR,2004,,,,
EMR,2005,,,,
EMR,2006,,,,
EMR,2007,,,,
EMR,2008,,,,
EMR,2009,,,,
EMR,2010,,,,
EMR,2011,,,,
EMR,2012,,,,
EMR,2013,,,,
EMR,2014,,,,
EMR,2015,,,,
EMR,2016,,,,
EMR,2017,,,,
EMR,2018,,,,
ENOC,2011,,,,
ENOC,2013,,,,
ENOC,2014,,,,
ENPH,2008,,,,
ENPH,2009,,,,
ENPH,2010,,,,
ENPH,2011,,,,
ENPH,2012,,,,
ENPH,2013,,,,
ENPH,2014,,,,
ENPH,2015,,,,
