folder_name,perspective_taking,length,readability_fog,readability_flesch_reading_ease,readability_smog,readability_automated_readability,sentiment_polarity,sentiment_subjectivity,comparative,superlative,present,past,future,ESGBERT/EnvironmentalBERT-forest_class_0,ESGBERT/EnvironmentalBERT-forest_class_1,ESGBERT/EnvironmentalBERT-action_class_0,ESGBERT/EnvironmentalBERT-action_class_1,ESGBERT/EnvironmentalBERT-environmental_class_0,ESGBERT/EnvironmentalBERT-environmental_class_1,ESGBERT/GovernanceBERT-governance_class_0,ESGBERT/GovernanceBERT-governance_class_1,ESGBERT/SocialBERT-social_class_0,ESGBERT/SocialBERT-social_class_1,ESGBERT/EnvironmentalBERT-water_class_0,ESGBERT/EnvironmentalBERT-water_class_1,ESGBERT/EnvironmentalBERT-biodiversity_class_0,ESGBERT/EnvironmentalBERT-biodiversity_class_1,exchange,ticker,year1,year2
NYSE_NWL_2019,0.0097244716816091,11.361590816402453,13.3,19.5,18.1,18.8,0.0984434989122119,0.3610460856865813,24,15,877,377,16,0.9742757081985474,0.0257242731750011,0.4601535499095917,0.5398464202880859,0.5023609399795532,0.4976391196250915,0.8268040418624878,0.1731959283351898,0.6267819404602051,0.3732180595397949,0.905925154685974,0.0940748378634452,0.9997501969337464,0.0002497882815077,NYSE,NWL,2019,nan
NYSE_VRS_2007,0.0147058803869143,11.647089157650932,11.47,31.31,16.0,15.6,0.1499700916367579,0.4352211129542142,95,36,1277,712,25,0.6280083656311035,0.3719915747642517,0.4175064861774444,0.5824934840202332,0.3763380050659179,0.623661994934082,0.9364091157913208,0.0635909214615821,0.6717647910118103,0.3282352387905121,0.8964259624481201,0.1035740375518798,0.9996047616004944,0.0003952951228711,NYSE,VRS,2007,nan
NYSE_HDB_2015,0.0541666621527781,12.369623292624269,12.7,17.07,18.5,19.3,0.085546530134765,0.3440754478695667,78,60,2103,1526,18,0.993136703968048,0.0068633053451776,0.6135673522949219,0.3864326179027557,0.6804488897323608,0.3195510804653168,0.8289695382118225,0.1710304617881775,0.6839374899864197,0.3160624802112579,0.971638798713684,0.0283612310886383,0.996277153491974,0.0037228355649858,NYSE,HDB,2015,nan
NYSE_EMN_2018,0.0163043433955588,11.844593321876683,15.86,2.92,20.6,23.2,0.1622741066690987,0.3944056569299975,56,43,1247,668,20,0.9935671091079712,0.0064328736625611,0.6705651879310608,0.3294348418712616,0.3304846286773681,0.6695153713226318,0.7724729180335999,0.2275270670652389,0.5046331286430359,0.4953669011592865,0.9398784637451172,0.0601215735077858,0.9795066118240356,0.0204933602362871,NYSE,EMN,2018,nan
NYSE_MTX_2021,0.0042857139795918,12.37593777550074,11.28,13.78,18.0,17.6,0.1053741096866094,0.3900553950192115,70,67,2299,1160,28,0.9839877486228944,0.0160122662782669,0.5780466198921204,0.4219533801078796,0.4024686515331268,0.5975313186645508,0.8405591249465942,0.1594409644603729,0.6533949971199036,0.3466050326824188,0.8808838129043579,0.1191161349415779,0.9861088395118712,0.013891139999032,NYSE,MTX,2021,nan
NYSE_VNO_2018,0.001908396582367,11.447458512974078,12.25,21.84,17.6,17.1,0.0782741344232026,0.3645623725825594,36,14,810,517,15,0.9878907799720764,0.0121091175824403,0.6564338207244873,0.3435661196708679,0.2186825722455978,0.7813174724578857,0.8286754488945007,0.1713245511054992,0.7716944813728333,0.2283055037260055,0.7732543349266052,0.2267456799745559,0.9914917349815368,0.0085082529112696,NYSE,VNO,2018,nan
NYSE_CMI_2004,0.0,11.58905282535778,11.02,25.49,16.0,15.3,0.1235379944879942,0.3909394217394219,70,38,1114,685,41,0.9958442449569702,0.004155752249062,0.5560821294784546,0.443917840719223,0.4832513630390167,0.5167486667633057,0.9265020489692688,0.0734978765249252,0.7485601305961609,0.2514398992061615,0.9482760429382324,0.051723938435316,0.998777151107788,0.0012228111736476,NYSE,CMI,2004,nan
NYSE_ALL_2010,0.0138888840663597,10.656765115149096,10.52,43.53,14.3,14.8,0.1361581011581009,0.372402748813363,44,12,453,176,2,0.9932454824447632,0.0067545133642852,0.9503204226493835,0.0496795997023582,0.8910349607467651,0.1089650392532348,0.9662013053894044,0.0337987057864666,0.9288901686668396,0.0711098089814186,0.9976110458374025,0.0023889599833637,0.9994478821754456,0.0005520766135305,NYSE,ALL,2010,nan
NYSE_GIS_2012,0.0160984833240072,12.041021099901172,9.64,35.07,14.8,13.3,0.1255031913995016,0.3879707765384392,196,66,1949,998,40,0.9526646733283995,0.0473354049026966,0.3891850113868713,0.6108149886131287,0.5529054403305054,0.4470945596694946,0.9145110845565796,0.0854889526963234,0.5941821932792664,0.405817836523056,0.9207881093025208,0.079211950302124,0.9859105944633484,0.0140893971547484,NYSE,GIS,2012,nan
NYSE_LTHM_2020,0.0074906357689593,11.899092218615293,13.39,9.42,19.0,19.5,0.1019335851891977,0.3364385732606821,52,11,1133,575,41,0.9996715188026428,0.0003284130943939,0.5996249318122864,0.4003750681877136,0.3152788281440735,0.6847211122512817,0.8175202012062073,0.1824798136949539,0.5372751951217651,0.4627248048782348,0.8699311017990112,0.1300689280033111,0.9543168544769288,0.0456831343472003,NYSE,LTHM,2020,nan
NYSE_PG_2002,0.0192678190235416,12.068125804860792,10.53,33.95,15.7,14.4,0.1363212686006804,0.3663402398629176,156,53,1673,1038,50,0.9958950877189636,0.0041049346327781,0.5574650764465332,0.4425349533557892,0.5639373064041138,0.4360627233982086,0.9338839054107666,0.0661162137985229,0.5838189721107483,0.4161809980869293,0.9284939169883728,0.0715061873197555,0.9973086714744568,0.0026912316679954,NYSE,PG,2002,nan
NYSE_ALV_2016,0.0116958995930411,9.948747683940992,13.24,25.29,16.7,15.3,0.1670124468406911,0.4734530355141039,17,2,283,86,10,0.9814527630805968,0.0185472536832094,0.3617733716964721,0.6382266283035278,0.3958508968353271,0.6041491031646729,0.8356330394744873,0.1643669456243515,0.437389463186264,0.5626105666160583,0.8749653697013855,0.1250346601009369,0.9995768666267396,0.0004231403872836,NYSE,ALV,2016,nan
NYSE_PSA_2022,0.0012091896965913,11.91555990384511,11.86,13.58,18.3,19.2,0.0786253009810699,0.3334537109832972,60,29,1442,653,21,0.9912924766540528,0.0087075065821409,0.6294848918914795,0.3705151677131653,0.4218267798423767,0.5781732201576233,0.7713372111320496,0.228662759065628,0.6283439993858337,0.3716559708118438,0.885835587978363,0.1141644939780235,0.9998053908348083,0.0001946124830283,NYSE,PSA,2022,nan
NYSE_OFC_2022,0.0,11.607371635262174,12.09,13.88,18.0,17.8,0.1063801144541654,0.3853011233551126,46,29,1127,537,20,0.994705080986023,0.0052949166856706,0.4697614908218384,0.5302384495735168,0.3295581638813019,0.670441746711731,0.8189522624015808,0.1810476332902908,0.6174961924552917,0.3825037479400635,0.8225983381271362,0.1774016171693802,0.9918936491012572,0.0081063136458396,NYSE,OFC,2022,nan
NYSE_HRL_2018,0.0065104158189562,11.689488808361835,11.8,21.74,17.3,17.7,0.1446332680458641,0.3894923535476245,87,30,984,738,24,0.9894120693206788,0.0105878179892897,0.4138526022434234,0.5861473679542542,0.6292514204978943,0.3707486093044281,0.8921427726745605,0.1078572422266006,0.57297682762146,0.42702317237854,0.8723259568214417,0.1276740878820419,0.9914194941520692,0.0085804443806409,NYSE,HRL,2018,nan
NYSE_TEN_2021,0.0079594784399798,12.031647827262823,12.15,20.42,17.9,18.1,0.1168971977381729,0.38035132491905,59,34,1402,769,38,0.999864399433136,0.0001354784035356,0.405981570482254,0.5940183997154236,0.4963991343975067,0.5036008954048157,0.8105217814445496,0.1894781440496444,0.5311453342437744,0.4688546657562256,0.95891535282135,0.0410846099257469,0.9970918893814088,0.0029080880340188,NYSE,TEN,2021,nan
NYSE_KRC_2016,0.0033333327777778,11.678456852456709,12.45,21.23,17.4,17.8,0.0771630672739046,0.3604089483769295,44,21,913,712,46,0.9941278100013732,0.00587212247774,0.6208325624465942,0.3791674375534057,0.4278424978256225,0.5721575021743774,0.897600531578064,0.1023994907736778,0.754713237285614,0.245286762714386,0.8617763519287109,0.1382236331701278,0.9743378162384032,0.025662176311016,NYSE,KRC,2016,nan
NYSE_CVIA_2018,0.0064516123086071,11.997300331514936,12.67,11.25,19.0,19.6,0.1447649465918694,0.3875916556775242,63,29,1497,682,51,0.9831786751747132,0.0168212857097387,0.4550193548202514,0.5449805855751038,0.5292171835899353,0.4707827866077423,0.8950366973876953,0.1049633547663688,0.6867038607597351,0.3132960498332977,0.8984934687614441,0.1015065312385559,0.9526942372322084,0.0473057627677917,NYSE,CVIA,2018,nan
NYSE_MGM_2020,0.011718747711182,11.454034963697254,11.74,31.31,16.6,16.2,0.1097926832211562,0.3573192540030775,32,12,692,657,21,0.9909270405769348,0.0090729063376784,0.4415778219699859,0.5584222078323364,0.5653954148292542,0.4346046149730682,0.9224669337272644,0.0775330886244773,0.5038419961929321,0.4961580634117126,0.9017861485481262,0.0982138961553573,0.9997948408126832,0.0002052336931228,NYSE,MGM,2020,nan
NYSE_MAS_2015,0.0082304492878809,10.852903534842111,12.94,14.39,17.6,20.9,0.0758237946095089,0.3530489349775061,9,10,372,218,1,0.9286927580833436,0.0713072046637535,0.7396183013916016,0.260381668806076,0.5848582983016968,0.4151416420936584,0.8621206879615784,0.1378793269395828,0.7755385041236877,0.2244614958763122,0.8536951541900635,0.1463048607110977,0.9830247759819032,0.0169751979410648,NYSE,MAS,2015,nan
NYSE_MOS_2021,0.0,12.417989411669916,11.03,22.85,17.9,17.2,0.0706213273764036,0.3678916402932159,114,34,1991,1419,39,0.994665026664734,0.005334966816008,0.7367864847183228,0.2632134854793548,0.619899570941925,0.3801004588603973,0.913614809513092,0.0863851755857467,0.750450074672699,0.2495498657226562,0.8939565420150757,0.1060434728860855,0.9212732911109924,0.0787266865372657,NYSE,MOS,2021,nan
NYSE_DELL_1998,0.3333222225925802,10.444299071792376,12.83,22.75,17.4,17.0,0.1385450225011395,0.3946633360729107,18,10,359,180,14,0.999127984046936,0.0008719173492863,0.3630205392837524,0.6369794607162476,0.2281936705112457,0.7718063592910767,0.9739866256713868,0.0260134134441614,0.986392855644226,0.0136071136221289,0.9742973446846008,0.0257026441395282,0.9997276663780212,0.0002722770150285,NYSE,DELL,1998,nan
NYSE_UE_2021,0.0105041994739076,11.606561516931496,14.24,16.46,19.3,19.8,0.1151830512152775,0.3684220952658456,37,37,1172,572,30,0.9921309351921082,0.0078690918162465,0.5727502703666687,0.4272497296333313,0.4418557286262512,0.558144211769104,0.6708307862281799,0.3291692435741424,0.5904456973075867,0.4095543324947357,0.9030390977859496,0.0969608873128891,0.999215841293335,0.0007841438637115,NYSE,UE,2021,nan
