folder_name,perspective_taking,length,readability_fog,readability_flesch_reading_ease,readability_smog,readability_automated_readability,sentiment_polarity,sentiment_subjectivity,comparative,superlative,present,past,future,ESGBERT/EnvironmentalBERT-forest_class_0,ESGBERT/EnvironmentalBERT-forest_class_1,ESGBERT/EnvironmentalBERT-action_class_0,ESGBERT/EnvironmentalBERT-action_class_1,ESGBERT/EnvironmentalBERT-environmental_class_0,ESGBERT/EnvironmentalBERT-environmental_class_1,ESGBERT/GovernanceBERT-governance_class_0,ESGBERT/GovernanceBERT-governance_class_1,ESGBERT/SocialBERT-social_class_0,ESGBERT/SocialBERT-social_class_1,ESGBERT/EnvironmentalBERT-water_class_0,ESGBERT/EnvironmentalBERT-water_class_1,ESGBERT/EnvironmentalBERT-biodiversity_class_0,ESGBERT/EnvironmentalBERT-biodiversity_class_1
NASDAQ_CSCO_2011,0.0646861492723455,12.938007753297379,11.63,20.11,17.7,18.2,0.11412696034487932,0.38080736403834625,205,93,4058,2025,105,0.9965988993644714,0.0034011430107057095,0.41428881883621216,0.5857111811637878,0.4355582296848297,0.5644418597221375,0.8757730722427368,0.12422700226306915,0.6621008515357971,0.3378991484642029,0.9067771434783936,0.09322284162044525,0.9791736006736755,0.020826419815421104
NASDAQ_MYL_2019,0.008563272258489794,12.61821540839158,11.65,21.33,17.4,17.3,0.11425354422391978,0.36017816416082327,196,52,2760,1972,80,0.9958418011665344,0.004158212803304195,0.5087422132492065,0.49125784635543823,0.7872830629348755,0.2127169817686081,0.9012171030044556,0.09878291189670563,0.7300776243209839,0.2699224352836609,0.953045129776001,0.0469549261033535,0.9993506669998169,0.000649252615403384
NASDAQ_MSFT_2006,0.021563336505839217,12.01237866719124,12.42,20.62,17.8,18.1,0.18341727077356487,0.3890519807455662,143,42,1648,791,85,0.9946635365486145,0.005336460657417774,0.3337826728820801,0.6662172675132751,0.8962805271148682,0.1037195548415184,0.9651909470558167,0.03480904921889305,0.7114899754524231,0.2885100245475769,0.9904766082763672,0.009523437358438969,0.9997626543045044,0.00023734681599307805
NASDAQ_AAPL_2019,0.0011682242308280238,12.446946089273744,10.3,23.87,16.3,15.9,0.12658078612403859,0.41865787606387384,164,66,2724,1656,70,0.9281288981437683,0.07187109440565109,0.3272091746330261,0.6727907657623291,0.1692829132080078,0.8307170867919922,0.9691790342330933,0.030820950865745544,0.9677132368087769,0.032286666333675385,0.9030067920684814,0.09699325263500214,0.9771935343742371,0.02280646190047264
NASDAQ_CSCO_2013,0.0714534656168189,13.256360911368095,11.61,19.6,17.9,18.3,0.13488126573449682,0.4038323014106901,350,141,5621,2817,106,0.9961157441139221,0.0038842931389808655,0.3839759826660156,0.6160241365432739,0.5076534152030945,0.49234652519226074,0.8720617890357971,0.12793821096420288,0.5853736400604248,0.4146263301372528,0.9200078248977661,0.07999221235513687,0.9853792786598206,0.0146207045763731
NASDAQ_STX_2015,0.00856530865839215,11.555592156989347,11.92,23.16,16.8,16.9,0.10021709920824169,0.3473767312797433,52,14,869,763,37,0.9951146841049194,0.004885293543338776,0.3589208126068115,0.6410791873931885,0.6338216662406921,0.3661782443523407,0.8769452571868896,0.12305474281311035,0.6314891576766968,0.3685108721256256,0.9505709409713745,0.049429066479206085,0.9998275637626648,0.0001724363537505269
NASDAQ_PANL_2017,0.021739106805318688,10.097531796025063,14.98,12.56,18.6,18.8,0.07830365821140728,0.31233480848794504,7,0,183,88,1,0.9998381733894348,0.00016178912483155727,0.8283645510673523,0.1716354787349701,0.7323697805404663,0.2676302194595337,0.9018886685371399,0.09811133146286011,0.6485844254493713,0.3514154851436615,0.9847797155380249,0.015220271423459053,0.9997610449790955,0.0002388862776570022
NASDAQ_MSFT_2003,0.06053267299451017,11.159815587195991,13.05,21.02,17.7,17.8,0.16015606615606617,0.4372666225715684,57,26,817,304,21,0.9872556328773499,0.012744316831231117,0.39465633034706116,0.6053436398506165,0.880679726600647,0.11932030320167542,0.9365527033805847,0.06344728916883469,0.7083425521850586,0.2916575074195862,0.9810794591903687,0.01892058737576008,0.9924827814102173,0.007517182733863592
NASDAQ_TORM_2021,0.00749063389863899,11.02867685605469,12.14,31.21,16.4,16.0,0.12297341241435725,0.4285619354398881,21,18,647,410,24,0.9998739361763,0.0001260814315173775,0.5995020866394043,0.4004978537559509,0.6339090466499329,0.3660909831523895,0.8413712382316589,0.15862877666950226,0.4959864020347595,0.5040135979652405,0.9464420676231384,0.05355789139866829,0.9998235702514648,0.00017632053641136736
NASDAQ_SBUX_2007,0.012388161569981997,12.570437942752912,10.63,23.66,16.0,16.2,0.1336443267568947,0.3666273790505252,163,60,2691,1905,111,0.9714081287384033,0.02859174832701683,0.3261377215385437,0.6738622188568115,0.6443905234336853,0.3556094765663147,0.9260479211807251,0.07395204901695251,0.49615412950515747,0.5038458108901978,0.9434384107589722,0.05656161159276962,0.975507378578186,0.024492600932717323
NASDAQ_UNFI_2010_2011,0.060402644025071124,10.658294113482802,13.01,38.96,15.6,14.9,0.12764465374322187,0.3919570566486871,12,7,391,288,20,0.9341089725494385,0.06589099019765854,0.28685757517814636,0.713142454624176,0.3675693869590759,0.6324306130409241,0.9788897037506104,0.021110335364937782,0.678397536277771,0.32160237431526184,0.9533299803733826,0.04666997864842415,0.928853452205658,0.07114647328853607
NASDAQ_XEL_2021,0.007197290127125735,12.944962494214163,11.44,20.62,18.2,17.8,0.12555052385631008,0.41393630156662425,336,101,4809,2103,100,0.9759248495101929,0.024075163528323174,0.2875902056694031,0.7124098539352417,0.3446997404098511,0.6553003191947937,0.927759051322937,0.07224097102880478,0.7330610752105713,0.2669388949871063,0.9031491875648499,0.09685081243515015,0.9452804923057556,0.05471944808959961
NASDAQ_VECO_2019,0.018382346182960963,10.486457078074604,14.83,18.79,18.4,18.0,0.13380458055458055,0.3860012517512516,9,5,379,143,8,0.9998628497123718,0.0001371958787785843,0.5726268291473389,0.4273732006549835,0.5330833792686462,0.46691659092903137,0.824140191078186,0.17585977911949158,0.5968350768089294,0.40316489338874817,0.9204260110855103,0.07957396656274796,0.9998085498809814,0.0001914170425152406
NASDAQ_ADSK_2018,0.007042248561796787,10.43719928008882,12.83,24.48,16.7,16.4,0.10331126629603088,0.37020443391634483,33,2,300,144,7,0.9738826751708984,0.02611728385090828,0.49551400542259216,0.5044859647750854,0.36338162422180176,0.6366183757781982,0.8742673993110657,0.12573254108428955,0.6277385354042053,0.37226149439811707,0.9744036793708801,0.02559635601937771,0.9998589158058167,0.00014107470633462071
NASDAQ_PRGO_2022,0.015337418608153802,10.906927985166073,14.29,18.59,18.3,18.6,0.12558635153666212,0.37242214488410186,31,18,550,310,8,0.9411886930465698,0.05881137773394585,0.42685839533805847,0.5731415748596191,0.43772900104522705,0.562270998954773,0.7687900066375732,0.23120999336242676,0.4447985291481018,0.5552014112472534,0.8959825038909912,0.10401754081249237,0.9839205145835876,0.016079487279057503
