folder_name,perspective_taking,length,readability_fog,readability_flesch_reading_ease,readability_smog,readability_automated_readability,sentiment_polarity,sentiment_subjectivity,comparative,superlative,present,past,future,ESGBERT/EnvironmentalBERT-forest_class_0,ESGBERT/EnvironmentalBERT-forest_class_1,ESGBERT/EnvironmentalBERT-action_class_0,ESGBERT/EnvironmentalBERT-action_class_1,ESGBERT/EnvironmentalBERT-environmental_class_0,ESGBERT/EnvironmentalBERT-environmental_class_1,ESGBERT/GovernanceBERT-governance_class_0,ESGBERT/GovernanceBERT-governance_class_1,ESGBERT/SocialBERT-social_class_0,ESGBERT/SocialBERT-social_class_1,ESGBERT/EnvironmentalBERT-water_class_0,ESGBERT/EnvironmentalBERT-water_class_1,ESGBERT/EnvironmentalBERT-biodiversity_class_0,ESGBERT/EnvironmentalBERT-biodiversity_class_1,exchange,ticker,year1,year2,greenwash_score_mean
NASDAQ_ADSK_2012_2013,0.0031104194229518,11.908851890819648,11.98,22.04,17.6,17.7,0.1168782191589336,0.3816579310628345,120,46,1400,610,44,0.990389049053192,0.0096109770238399,0.5607577562332153,0.4392422437667846,0.4839363694190979,0.5160636901855469,0.9177380204200744,0.0822619870305061,0.8157468438148499,0.1842531263828277,0.948284924030304,0.051715038716793,0.9974935054779052,0.0025064500514417,NASDAQ,ADSK,2012,2013,-15.938396480000002
NASDAQ_DECK_2020_2021,0.0186491926084076,13.219892910802358,7.44,46.17,13.6,12.4,0.0455773479572446,0.3586451116941619,96,104,3406,4009,131,0.9424411058425904,0.0575589574873447,0.7524975538253784,0.2475023865699768,0.5753080248832703,0.4246919751167297,0.9576929807662964,0.0423069819808006,0.8665602207183838,0.1334397792816162,0.9108318090438844,0.0891681909561157,0.9928350448608398,0.0071649518795311,NASDAQ,DECK,2020,2021,-13.033062034999997
NASDAQ_VRTU_2021_2022,0.0154109562652472,11.70464439448365,11.78,14.59,17.8,17.7,0.0894297366659534,0.3447318334390575,18,20,1257,669,7,0.9816951155662536,0.0183048751205205,0.6349231004714966,0.3650768995285034,0.4541514813899994,0.545848548412323,0.6525781750679016,0.3474217653274536,0.5030869245529175,0.4969131052494049,0.9537571668624878,0.0462429225444793,0.9732258319854736,0.0267741307616233,NASDAQ,VRTU,2021,2022,0.0
NASDAQ_QCOM_2016_2017,0.0070175413973538,11.112328488258925,13.58,19.71,17.7,18.3,0.1176235274288552,0.4155573608237541,27,8,532,354,11,0.9874674677848816,0.0125324577093124,0.4917903244495392,0.5082097053527832,0.4793488383293152,0.5206511616706848,0.8793259263038635,0.1206740140914917,0.558186948299408,0.4418130815029144,0.9171608090400696,0.0828392207622528,0.9934151768684388,0.0065847719088196,NASDAQ,QCOM,2016,2017,-9.27463976
NASDAQ_INTC_2020_2021,0.0025619127855716,12.809606886150126,10.71,22.75,17.3,17.3,0.1036687007282878,0.3441678902545828,241,67,3035,2107,100,0.994934380054474,0.0050655952654778,0.2862601280212402,0.7137398719787598,0.5554633140563965,0.4445367157459259,0.8900313973426819,0.1099686473608017,0.5122111439704895,0.4877888262271881,0.90352463722229,0.0964753180742263,0.994974672794342,0.0050253141671419,NASDAQ,INTC,2020,2021,-11.078888254999995
NASDAQ_CWST_2019_2020,0.0109204351138166,11.351112168807624,11.63,23.87,16.6,15.9,0.1580581899312386,0.3907264241135211,60,24,984,407,37,0.9945777654647828,0.0054222578182816,0.53486567735672,0.4651343524456024,0.3487083613872528,0.65129154920578,0.9036462903022766,0.0963538140058517,0.6130740642547607,0.3869258761405945,0.9509224891662598,0.049077570438385,0.994882345199585,0.0051176524721086,NASDAQ,CWST,2019,2020,4.714893759999999
NASDAQ_RBBN_2020_2021,0.0048543683429164,11.878207263444406,13.89,16.86,19.1,19.7,0.113754436309041,0.398454665261448,73,24,1290,720,22,0.9975745677947998,0.0024253688752651,0.5272226333618164,0.4727773368358612,0.5374451875686646,0.4625548422336578,0.8350229263305664,0.1649770885705948,0.6793400049209595,0.3206599652767181,0.9846978783607484,0.0153022352606058,0.9997432827949524,0.0002566086186561,NASDAQ,RBBN,2020,2021,0.0
NASDAQ_CWST_2017_2018,0.0138297857627887,11.68264292278116,11.07,24.58,16.1,15.7,0.1440095638859681,0.4048068556495531,76,41,1453,530,42,0.980731964111328,0.0192679520696401,0.4761604368686676,0.52383953332901,0.2823531031608581,0.7176468968391418,0.9331366419792176,0.0668633431196212,0.796136736869812,0.2038632333278656,0.9184781312942504,0.0815218538045883,0.9801360368728638,0.0198639184236526,NASDAQ,CWST,2017,2018,-13.363037040000005
NASDAQ_KELYA_2014_2015,0.0245535659478647,11.233846281325716,12.78,21.63,17.3,17.1,0.1355001692995113,0.3876028105057711,48,25,893,346,9,0.9879146814346312,0.0120852198451757,0.3483687937259674,0.6516311764717102,0.804715096950531,0.1952849328517913,0.8891229629516602,0.1108770668506622,0.419542133808136,0.5804579257965088,0.9506853222846984,0.0493146441876888,0.9925131797790528,0.0074868169613182,NASDAQ,KELYA,2014,2015,0.0
NASDAQ_QCOM_2015_2016,0.0202140285120061,11.601815076971633,12.82,20.42,17.5,18.0,0.138207394347012,0.4315948117559115,49,23,1015,593,34,0.996518075466156,0.003481903579086,0.5364365577697754,0.4635633826255798,0.5600194931030273,0.4399805665016174,0.8507755994796753,0.1492244303226471,0.6063866019248962,0.3936134576797485,0.9202995300292968,0.0797004550695419,0.9997408986091614,0.0002591494412627,NASDAQ,QCOM,2015,2016,-10.837252914999997
NASDAQ_OTEX_2019_2020,0.0049999991666668,11.28461860669914,13.91,10.33,18.8,19.2,0.1216090143908516,0.3749414978433771,37,16,997,337,13,0.9841721057891846,0.015827901661396,0.5139667391777039,0.4860332608222961,0.6522800922393799,0.3477199375629425,0.8595485091209412,0.1404514461755752,0.4702605009078979,0.529739499092102,0.9829413294792176,0.0170587394386529,0.9995170831680298,0.0004829229146707,NASDAQ,OTEX,2019,2020,-20.144017345
NASDAQ_VRTU_2020_2021,0.0,11.738019113608052,12.93,20.01,18.4,18.7,0.0878051688649515,0.3367376366665669,19,13,1012,659,5,0.9872194528579712,0.0127805089578032,0.6308994293212891,0.3691005706787109,0.5123357772827148,0.4876641929149627,0.7142518758773804,0.2857481241226196,0.5264826416969299,0.4735173881053924,0.932335078716278,0.0676649659872055,0.9925695061683656,0.0074305008165538,NASDAQ,VRTU,2020,2021,0.0
NASDAQ_XLNX_2013_2014,0.0272727148760386,10.909801787057871,13.85,12.56,17.8,18.6,0.1394207488122729,0.3479598106231079,45,16,576,260,9,0.9998619556427002,0.0001379899913445,0.5243390798568726,0.4756610095500946,0.7349367737770081,0.2650632858276367,0.9002745151519775,0.0997254699468612,0.6628625988960266,0.3371374309062958,0.9691975116729736,0.0308026168495416,0.9827898740768432,0.0172101035714149,NASDAQ,XLNX,2013,2014,-14.137142370000003
NASDAQ_FLEX_2010_2011,0.0147874279505678,11.977011620451927,11.72,14.29,17.5,17.6,0.115665023085491,0.3802905584478217,40,25,1449,814,60,0.994871199131012,0.005128760356456,0.544905960559845,0.4550940692424774,0.7237327098846436,0.2762672901153564,0.9104609489440918,0.0895390510559082,0.6073311567306519,0.3926688730716705,0.960989236831665,0.0390106998383998,0.9971888661384584,0.0028111543506383,NASDAQ,FLEX,2010,2011,-27.03122093
NASDAQ_AMZN_2020_2021,0.0,12.578011993413169,10.61,23.66,17.0,16.8,0.1228130169912758,0.3549740227959228,256,66,2989,1493,81,0.9566023945808412,0.0433976203203201,0.270982950925827,0.7290170788764954,0.4077679812908172,0.5922320485115051,0.8951681852340698,0.1048318743705749,0.5838701128959656,0.4161298274993896,0.9463196992874146,0.0536802895367145,0.9913694262504578,0.0086305057629942,NASDAQ,AMZN,2020,2021,-29.276842330000008
NASDAQ_QCOM_2011_2012,0.0070312494506836,12.100912109875011,11.94,21.84,17.7,17.9,0.1275290241563723,0.3834474242306621,103,47,1742,946,19,0.9952009916305542,0.0047989729791879,0.417042464017868,0.5829575061798096,0.6152158975601196,0.3847841322422027,0.8767074346542358,0.1232925653457641,0.5859745740890503,0.4140253663063049,0.9377275705337524,0.0622724592685699,0.9909167885780334,0.0090831751003861,NASDAQ,QCOM,2011,2012,-14.754792024999999
NASDAQ_VRTU_2018_2019,0.0038834943915544,11.665002567850578,12.77,20.21,17.8,18.0,0.0871820679320679,0.3477492383608462,24,12,982,596,11,0.9741804599761964,0.0258195213973522,0.5718376636505127,0.4281623661518097,0.5077518224716187,0.4922482073307037,0.838036060333252,0.1619639843702316,0.6654321551322937,0.3345677852630615,0.931915819644928,0.0680841207504272,0.985984206199646,0.0140157174319028,NASDAQ,VRTU,2018,2019,-9.763236565
NASDAQ_LNDC_2019_2020,0.0116009253826159,11.200117019200826,15.48,6.27,19.6,21.7,0.10264812207994,0.3675437567483021,20,28,672,297,10,0.9897019863128662,0.0102980062365531,0.6200119256973267,0.3799880743026733,0.3723807036876678,0.6276192665100098,0.8769552707672119,0.1230447590351104,0.5563068985939026,0.4436930418014526,0.9096930027008056,0.0903070047497749,0.9942142963409424,0.0057856650091707,NASDAQ,LNDC,2019,2020,-0.910309980000001
NASDAQ_DNKN_2015_2016,0.0232843108720207,11.450209282364696,11.72,31.11,16.2,15.7,0.1196556852812536,0.3419935816887594,56,18,875,614,29,0.9097907543182372,0.0902092531323432,0.3332663178443908,0.6667336821556091,0.6399164199829102,0.3600835800170898,0.8921906352043152,0.107809379696846,0.6424996852874756,0.357500284910202,0.9555603861808776,0.0444396585226058,0.9954389929771424,0.0045609637163579,NASDAQ,DNKN,2015,2016,-16.76929116
NASDAQ_QCOM_2019_2020,0.0167158292314818,12.128997197849866,11.59,22.14,17.4,17.8,0.123659569133745,0.3916083730754259,98,44,1650,1004,36,0.9952437281608582,0.0047562820836901,0.4483666121959686,0.5516334176063538,0.5778430104255676,0.4221569895744324,0.8600268363952637,0.1399732083082199,0.6011938452720642,0.3988061249256134,0.9482932686805724,0.0517067648470401,0.9952293038368224,0.0047706444747745,NASDAQ,QCOM,2019,2020,-1.7630663600000034
NASDAQ_QCOM_2006_2007,0.0241545835375402,11.38694265284588,13.14,28.67,17.0,17.0,0.1727967063258456,0.4046121123711312,35,27,952,531,5,0.9848328828811646,0.0151670901104807,0.4688664376735687,0.5311335325241089,0.7392397522926331,0.2607603371143341,0.9472690224647522,0.0527308769524097,0.3917951583862304,0.6082048416137695,0.9709069728851318,0.0290930569171905,0.9911880493164062,0.0088119627907872,NASDAQ,QCOM,2006,2007,5.203510379999999
NASDAQ_AMZN_2018_2019,0.063205403339638,11.453101147824563,12.03,22.24,17.4,16.9,0.1458967591281024,0.3868267901252981,92,26,1086,456,28,0.956367015838623,0.0436329208314418,0.1587526053190231,0.8412474393844604,0.2884144783020019,0.711585521697998,0.960023045539856,0.0399770066142082,0.7670629024505615,0.2329370975494384,0.8847000598907471,0.1152999401092529,0.9984402656555176,0.0015596322482451,NASDAQ,AMZN,2018,2019,-36.111911225
NASDAQ_VREX_2016_2017,0.017291063790913,11.348227692929823,11.73,23.16,17.0,16.2,0.1526969152158134,0.4015576036634365,64,15,1050,436,31,0.9948216676712036,0.0051783323287963,0.4931491017341614,0.5068508386611938,0.4803502559661865,0.5196496844291687,0.8476368188858032,0.1523631811141967,0.5508515238761902,0.4491485059261322,0.9645981192588806,0.0354018844664096,0.9997084140777588,0.0002916267549153,NASDAQ,VREX,2016,2017,0.0
NASDAQ_SCHN_2020_2021,0.0021141646813779,12.045246400280826,11.98,21.63,17.9,18.3,0.1277337102101252,0.3873066068496501,82,54,1624,855,10,0.9875505566596984,0.0124494368210434,0.5229166150093079,0.4770834743976593,0.4215601980686188,0.5784397721290588,0.8694496154785156,0.1305504888296127,0.591557502746582,0.4084425270557403,0.9183166027069092,0.0816833898425102,0.9991715550422668,0.0008285386138595,NASDAQ,SCHN,2020,2021,6.04023291
NASDAQ_CTAS_2021_2022,0.0019546519955179,12.627174854417737,11.1,22.14,17.5,17.4,0.1099068628837642,0.3710388313458345,228,62,2957,1626,55,0.9993348121643066,0.0006651991279795,0.4581087231636047,0.54189133644104,0.522574782371521,0.4774252772331238,0.8085967302322388,0.1914032697677612,0.4842076599597931,0.5157923698425293,0.894642174243927,0.1053578779101371,0.9985230565071106,0.0014769694535061,NASDAQ,CTAS,2021,2022,-15.170864514999998
